<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HNX30INDEX,20210730,494.31,503.85,494.31,503.85,59577700
HNXINDEX,20210730,314.84,314.84,314.84,314.84,106403489
UPCOMINDEX,20210730,86.13,86.93,85.96,86.93,83969636
VN30INDEX,20210730,1430.48,1451.45,1427.55,1447.23,224343008
VNINDEX,20210730,1297.18,1311.97,1293.59,1310.05,603393000
HNX30INDEX,20210729,482.49,494.31,482.11,494.31,54211800
HNXINDEX,20210729,310.97,310.97,310.97,310.97,87653506
UPCOMINDEX,20210729,84.95,86.14,84.95,86.13,42178696
VN30INDEX,20210729,1419.55,1427.55,1407.5,1427.55,166489792
VNINDEX,20210729,1286.47,1293.59,1277.07,1293.59,434029500
HNX30INDEX,20210728,482.48,484,475.93,482.49,35847400
HNXINDEX,20210728,306.25,306.25,306.25,306.25,62309412
UPCOMINDEX,20210728,84.77,85.17,84.75,84.95,36821862
VN30INDEX,20210728,1406.25,1415.39,1402.6,1407.5,120700096
VNINDEX,20210728,1273.45,1281.17,1271.78,1277.07,352949700
HNX30INDEX,20210727,475.2,486.08,469.67,482.48,50554800
HNXINDEX,20210727,305.99,305.99,305.99,305.99,90311401
UPCOMINDEX,20210727,83.87,84.87,83.47,84.77,57004499
VN30INDEX,20210727,1415.5,1423.3,1403.96,1409.85,190307008
VNINDEX,20210727,1283.89,1288.34,1272.71,1276.93,510668900
HNX30INDEX,20210726,470.18,475.77,464.47,475.2,42816000
HNXINDEX,20210726,302.87,302.87,302.87,302.87,71614998
UPCOMINDEX,20210726,84.37,84.37,83.06,83.87,35660633
VN30INDEX,20210726,1396.46,1409.94,1384.87,1403.96,152848192
VNINDEX,20210726,1261.91,1277.33,1254.57,1272.71,452371800
HNX30INDEX,20210723,478.35,479.74,470.18,470.18,48710500
HNXINDEX,20210723,301.77,301.77,301.77,301.77,86923057
UPCOMINDEX,20210723,85.57,85.57,84.21,84.37,72795856
VN30INDEX,20210723,1422.07,1430.43,1401.53,1401.53,235469408
VNINDEX,20210723,1288.09,1295.63,1268.83,1268.83,542402400
HNX30INDEX,20210722,467.81,480.4,466.84,478.35,50937600
HNXINDEX,20210722,305.96,305.96,305.96,305.96,87198205
UPCOMINDEX,20210722,84.29,85.7,84.29,85.57,44250967
VN30INDEX,20210722,1404.49,1432.43,1400.2,1428.48,162697104
VNINDEX,20210722,1270.57,1294.16,1266.54,1293.67,484952100
HNX30INDEX,20210721,469.1,476.44,466.21,467.68,31097100
HNXINDEX,20210721,300.8,300.8,300.8,300.8,59501332
UPCOMINDEX,20210721,83.68,84.57,83.68,84.29,31980991
VN30INDEX,20210721,1415.71,1422.8,1402.42,1406.54,149343504
VNINDEX,20210721,1277.86,1284.33,1266.71,1270.79,387727100
HNX30INDEX,20210720,452.19,468.73,446.77,468.73,55871900
HNXINDEX,20210720,301.1,301.1,301.1,301.1,92866050
UPCOMINDEX,20210720,82.58,83.71,82.27,83.68,46365192
VN30INDEX,20210720,1379.41,1411.02,1357.31,1411.02,221511504
VNINDEX,20210720,1247.49,1273.29,1225.52,1273.29,529535900
HNX30INDEX,20210719,480.63,480.63,452.83,453.31,71964400
HNXINDEX,20210719,292.06,292.06,292.06,292.06,119800083
UPCOMINDEX,20210719,85.32,85.32,82.45,82.58,62846440
VN30INDEX,20210719,1403.96,1438.05,1367.61,1374.15,268708608
VNINDEX,20210719,1269.06,1276.55,1237.79,1243.51,661336100
HNX30INDEX,20210716,480.53,487.12,480.27,480.76,64484100
HNXINDEX,20210716,307.76,307.76,307.76,307.76,94988244
UPCOMINDEX,20210716,84.97,85.53,84.97,85.32,65796805
VN30INDEX,20210716,1439.96,1446.36,1430.29,1438.05,152452096
VNINDEX,20210716,1299.05,1304.36,1293.92,1299.31,407862600
HNX30INDEX,20210715,465.76,480.53,461.25,480.53,61939700
HNXINDEX,20210715,306.29,306.29,306.29,306.29,94066512
UPCOMINDEX,20210715,84.56,84.99,83.9,84.97,34932534
VN30INDEX,20210715,1402.36,1441.57,1402.36,1430.29,189776496
VNINDEX,20210715,1270.95,1299.18,1270.77,1293.92,410882200
HNX30INDEX,20210714,468.91,472.82,456.6,465.76,57571700
HNXINDEX,20210714,296.84,296.84,296.84,296.84,88504204
UPCOMINDEX,20210714,85.36,85.39,83.77,84.56,41432425
VN30INDEX,20210714,1442.2,1446.13,1395.16,1410.3,215228896
VNINDEX,20210714,1298.27,1305.36,1264.68,1279.91,537537200
HNX30INDEX,20210713,457.81,470.31,456.64,468.91,62664800
HNXINDEX,20210713,296.69,296.69,296.69,296.69,100819561
UPCOMINDEX,20210713,83.88,85.69,83.47,85.36,49113129
VN30INDEX,20210713,1454.56,1457.05,1419.09,1440.87,174503600
VNINDEX,20210713,1306.08,1307.73,1278.3,1297.54,489823200
HNX30INDEX,20210712,477.83,479.95,444.97,459.52,116737200
HNXINDEX,20210712,292.97,292.97,292.97,292.97,183177058
UPCOMINDEX,20210712,87.08,87.61,82.52,83.88,87286224
VN30INDEX,20210712,1488.92,1495.92,1406.14,1443.1,412553600
VNINDEX,20210712,1337.15,1347.14,1270.06,1296.3,895937800
HNX30INDEX,20210709,495.06,497.67,476.8,477.83,73565800
HNXINDEX,20210709,306.73,306.73,306.73,306.73,119824697
UPCOMINDEX,20210709,88.48,88.78,86.69,87.08,115522439
VN30INDEX,20210709,1510,1526.35,1480.6,1494.43,287668416
VNINDEX,20210709,1364.22,1374.68,1335.9,1347.14,701594400
HNX30INDEX,20210708,497.98,503.74,492.22,495.06,58037400
HNXINDEX,20210708,315.98,315.98,315.98,315.98,94624025
UPCOMINDEX,20210708,89.13,89.23,88.17,88.48,47509424
VN30INDEX,20210708,1530.4,1538.77,1509.9,1521.21,218880192
VNINDEX,20210708,1383.69,1388.55,1363.92,1374.68,520194400
HNX30INDEX,20210707,493.17,499.44,480.78,498.17,87034600
HNXINDEX,20210707,319.82,319.82,319.82,319.82,145980088
UPCOMINDEX,20210707,89.06,89.59,88.25,89.13,74849315
VN30INDEX,20210707,1501.44,1538.77,1472.81,1538.77,306583392
VNINDEX,20210707,1361.75,1388.55,1334.58,1388.55,721216100
HNX30INDEX,20210706,517.86,523.62,493.17,493.17,103368300
HNXINDEX,20210706,318.51,318.51,318.51,318.51,160239441
UPCOMINDEX,20210706,90.47,91.46,88.99,89.06,87297523
VN30INDEX,20210706,1557.92,1565.29,1488.42,1488.42,298836992
VNINDEX,20210706,1414.45,1418.99,1354.79,1354.79,762129800
HNX30INDEX,20210705,521.96,523.32,508.95,517.86,91650300
HNXINDEX,20210705,327.76,327.76,327.76,327.76,138292126
UPCOMINDEX,20210705,90.63,91.19,89.99,90.47,80002701
VN30INDEX,20210705,1559.94,1560.44,1533.18,1557.41,309397888
VNINDEX,20210705,1419.27,1421.52,1394.12,1411.13,758946600
